  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = gsiList ~ type, data = tempStatDataframe)

$type
                              diff          lwr          upr     p adj
align25-align100      0.0148140147  0.004637785  0.024990245 0.0000456
align50-align100      0.1973915316  0.187215302  0.207567761 0.0000000
align75-align100      0.0700464043  0.059870174  0.080222634 0.0000000
attract100-align100   0.7968975825  0.786721353  0.807073812 0.0000000
attract25-align100    0.7204230434  0.710246814  0.730599273 0.0000000
attract50-align100    0.7827559666  0.772579737  0.792932197 0.0000000
attract75-align100    0.7913172727  0.781141043  0.801493503 0.0000000
avoid100-align100     0.0303937565  0.020217527  0.040569986 0.0000000
avoid25-align100      0.1153596298  0.105183400  0.125535860 0.0000000
avoid50-align100      0.0913551457  0.081178916  0.101531376 0.0000000
avoid75-align100      0.2016454499  0.191469220  0.211821680 0.0000000
boid100-align100      0.7962163124  0.786040082  0.806392542 0.0000000
boid25-align100       0.7535837275  0.743407498  0.763759957 0.0000000
boid50-align100       0.7652384037  0.755062174  0.775414634 0.0000000
boid75-align100       0.7327461349  0.722569905  0.742922365 0.0000000
ligh25-align100       0.7370156720  0.726839442  0.747191902 0.0000000
light100-align100     0.7671654308  0.756989201  0.777341661 0.0000000
light50-align100      0.7609785964  0.750802366  0.771154826 0.0000000
light75-align100      0.7623693158  0.752193086  0.772545546 0.0000000
align50-align25       0.1825775169  0.172401287  0.192753747 0.0000000
align75-align25       0.0552323896  0.045056160  0.065408619 0.0000000
attract100-align25    0.7820835678  0.771907338  0.792259798 0.0000000
attract25-align25     0.7056090288  0.695432799  0.715785259 0.0000000
attract50-align25     0.7679419520  0.757765722  0.778118182 0.0000000
attract75-align25     0.7765032581  0.766327028  0.786679488 0.0000000
avoid100-align25      0.0155797419  0.005403512  0.025755972 0.0000108
avoid25-align25       0.1005456151  0.090369385  0.110721845 0.0000000
avoid50-align25       0.0765411310  0.066364901  0.086717361 0.0000000
avoid75-align25       0.1868314352  0.176655205  0.197007665 0.0000000
boid100-align25       0.7814022977  0.771226068  0.791578528 0.0000000
boid25-align25        0.7387697128  0.728593483  0.748945943 0.0000000
boid50-align25        0.7504243891  0.740248159  0.760600619 0.0000000
boid75-align25        0.7179321202  0.707755890  0.728108350 0.0000000
ligh25-align25        0.7222016573  0.712025427  0.732377887 0.0000000
light100-align25      0.7523514162  0.742175186  0.762527646 0.0000000
light50-align25       0.7461645817  0.735988352  0.756340812 0.0000000
light75-align25       0.7475553011  0.737379071  0.757731531 0.0000000
align75-align50      -0.1273451273 -0.137521357 -0.117168897 0.0000000
attract100-align50    0.5995060509  0.589329821  0.609682281 0.0000000
attract25-align50     0.5230315119  0.512855282  0.533207742 0.0000000
attract50-align50     0.5853644350  0.575188205  0.595540665 0.0000000
attract75-align50     0.5939257411  0.583749511  0.604101971 0.0000000
avoid100-align50     -0.1669977750 -0.177174005 -0.156821545 0.0000000
avoid25-align50      -0.0820319018 -0.092208132 -0.071855672 0.0000000
avoid50-align50      -0.1060363859 -0.116212616 -0.095860156 0.0000000
avoid75-align50       0.0042539183 -0.005922312  0.014430148 0.9958017
boid100-align50       0.5988247808  0.588648551  0.609001011 0.0000000
boid25-align50        0.5561921959  0.546015966  0.566368426 0.0000000
boid50-align50        0.5678468722  0.557670642  0.578023102 0.0000000
boid75-align50        0.5353546033  0.525178373  0.545530833 0.0000000
ligh25-align50        0.5396241404  0.529447911  0.549800370 0.0000000
light100-align50      0.5697738993  0.559597669  0.579950129 0.0000000
light50-align50       0.5635870648  0.553410835  0.573763295 0.0000000
light75-align50       0.5649777842  0.554801554  0.575154014 0.0000000
attract100-align75    0.7268511782  0.716674948  0.737027408 0.0000000
attract25-align75     0.6503766392  0.640200409  0.660552869 0.0000000
attract50-align75     0.7127095624  0.702533332  0.722885792 0.0000000
attract75-align75     0.7212708685  0.711094639  0.731447098 0.0000000
avoid100-align75     -0.0396526477 -0.049828878 -0.029476418 0.0000000
avoid25-align75       0.0453132255  0.035136996  0.055489455 0.0000000
avoid50-align75       0.0213087414  0.011132511  0.031484971 0.0000000
avoid75-align75       0.1315990456  0.121422816  0.141775276 0.0000000
boid100-align75       0.7261699081  0.715993678  0.736346138 0.0000000
boid25-align75        0.6835373232  0.673361093  0.693713553 0.0000000
boid50-align75        0.6951919995  0.685015770  0.705368229 0.0000000
boid75-align75        0.6626997306  0.652523501  0.672875961 0.0000000
ligh25-align75        0.6669692677  0.656793038  0.677145498 0.0000000
light100-align75      0.6971190266  0.686942797  0.707295256 0.0000000
light50-align75       0.6909321921  0.680755962  0.701108422 0.0000000
light75-align75       0.6923229115  0.682146682  0.702499141 0.0000000
attract25-attract100 -0.0764745390 -0.086650769 -0.066298309 0.0000000
attract50-attract100 -0.0141416159 -0.024317846 -0.003965386 0.0001525
attract75-attract100 -0.0055803098 -0.015756540  0.004595920 0.9242831
avoid100-attract100  -0.7665038259 -0.776680056 -0.756327596 0.0000000
avoid25-attract100   -0.6815379527 -0.691714183 -0.671361723 0.0000000
