  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = gsiList ~ strength * behavior, data = tempStatDataframe)

$strength
                     diff          lwr         upr     p adj
str25-str100  0.081596716  0.070663296  0.09253014 0.0000000
str50-str100  0.037906393  0.026972973  0.04883981 0.0000000
str75-str100  0.004776042 -0.006157378  0.01570946 0.6757828
str50-str25  -0.043690323 -0.054623742 -0.03275690 0.0000000
str75-str25  -0.076820674 -0.087754093 -0.06588725 0.0000000
str75-str50  -0.033130351 -0.044063771 -0.02219693 0.0000000

$behavior
                       diff          lwr         upr     p adj
attract-align -0.0584628570 -0.071442119 -0.04548359 0.0000000
avoid-align    0.0341081756  0.021128913  0.04708744 0.0000000
boid-align    -0.0586894195 -0.071668682 -0.04571016 0.0000000
light-align    0.0511484041  0.038169142  0.06412767 0.0000000
avoid-attract  0.0925710327  0.079591771  0.10555029 0.0000000
boid-attract  -0.0002265625 -0.013205825  0.01275270 0.9999988
light-attract  0.1096112612  0.096631999  0.12259052 0.0000000
boid-avoid    -0.0927975951 -0.105776857 -0.07981833 0.0000000
light-avoid    0.0170402285  0.004060966  0.03001949 0.0031513
light-boid     0.1098378236  0.096858561  0.12281709 0.0000000

$`strength:behavior`
                                      diff           lwr
str25:align-str100:align     -0.0060419942 -0.0397661161
str50:align-str100:align     -0.0448040469 -0.0785281688
str75:align-str100:align     -0.0819289620 -0.1156530839
str100:attract-str100:align  -0.1841541622 -0.2178782841
str25:attract-str100:align   -0.0168576323 -0.0505817542
str50:attract-str100:align   -0.0703208572 -0.1040449791
str75:attract-str100:align   -0.0952937797 -0.1290179016
str100:avoid-str100:align    -0.0117800447 -0.0455041666
str25:avoid-str100:align      0.0270543503 -0.0066697716
str50:avoid-str100:align     -0.0225416623 -0.0562657842
str75:avoid-str100:align      0.0109250561 -0.0227990658
str100:boid-str100:align     -0.0932095725 -0.1269336944
str25:boid-str100:align      -0.0450214236 -0.0787455455
str50:boid-str100:align      -0.0681645262 -0.1018886481
str75:boid-str100:align      -0.1611371588 -0.1948612807
str100:light-str100:align    -0.0640696104 -0.0977937323
str25:light-str100:align      0.0956368889  0.0619127670
str50:light-str100:align      0.0421496690  0.0084255472
str75:light-str100:align     -0.0018983341 -0.0356224560
str50:align-str25:align      -0.0387620526 -0.0724861745
str75:align-str25:align      -0.0758869678 -0.1096110896
str100:attract-str25:align   -0.1781121679 -0.2118362898
str25:attract-str25:align    -0.0108156380 -0.0445397599
str50:attract-str25:align    -0.0642788629 -0.0980029848
str75:attract-str25:align    -0.0892517854 -0.1229759073
str100:avoid-str25:align     -0.0057380505 -0.0394621724
str25:avoid-str25:align       0.0330963446 -0.0006277773
str50:avoid-str25:align      -0.0164996681 -0.0502237900
str75:avoid-str25:align       0.0169670504 -0.0167570715
str100:boid-str25:align      -0.0871675783 -0.1208917002
str25:boid-str25:align       -0.0389794293 -0.0727035512
str50:boid-str25:align       -0.0621225319 -0.0958466538
str75:boid-str25:align       -0.1550951645 -0.1888192864
str100:light-str25:align     -0.0580276162 -0.0917517381
str25:light-str25:align       0.1016788831  0.0679547612
str50:light-str25:align       0.0481916633  0.0144675414
str75:light-str25:align       0.0041436601 -0.0295804618
str75:align-str50:align      -0.0371249151 -0.0708490370
str100:attract-str50:align   -0.1393501153 -0.1730742372
str25:attract-str50:align     0.0279464146 -0.0057777073
str50:attract-str50:align    -0.0255168103 -0.0592409322
str75:attract-str50:align    -0.0504897328 -0.0842138547
str100:avoid-str50:align      0.0330240022 -0.0007001197
str25:avoid-str50:align       0.0718583972  0.0381342753
str50:avoid-str50:align       0.0222623846 -0.0114617373
str75:avoid-str50:align       0.0557291030  0.0220049811
str100:boid-str50:align      -0.0484055256 -0.0821296475
str25:boid-str50:align       -0.0002173767 -0.0339414986
str50:boid-str50:align       -0.0233604793 -0.0570846012
str75:boid-str50:align       -0.1163331119 -0.1500572338
str100:light-str50:align     -0.0192655635 -0.0529896854
str25:light-str50:align       0.1404409358  0.1067168139
str50:light-str50:align       0.0869537159  0.0532295941
str75:light-str50:align       0.0429057128  0.0091815909
str100:attract-str75:align   -0.1022252002 -0.1359493221
str25:attract-str75:align     0.0650713297  0.0313472078
str50:attract-str75:align     0.0116081048 -0.0221160171
str75:attract-str75:align    -0.0133648177 -0.0470889396
str100:avoid-str75:align      0.0701489173  0.0364247954
str25:avoid-str75:align       0.1089833123  0.0752591904
str50:avoid-str75:align       0.0593872997  0.0256631778
str75:avoid-str75:align       0.0928540181  0.0591298962
str100:boid-str75:align      -0.0112806105 -0.0450047324
str25:boid-str75:align        0.0369075384  0.0031834165
str50:boid-str75:align        0.0137644358 -0.0199596861
str75:boid-str75:align       -0.0792081968 -0.1129323187
str100:light-str75:align      0.0178593516 -0.0158647703
str25:light-str75:align       0.1775658509  0.1438417290
str50:light-str75:align       0.1240786310  0.0903545092
str75:light-str75:align       0.0800306279  0.0463065060
str25:attract-str100:attract  0.1672965299  0.1335724080
str50:attract-str100:attract  0.1138333050  0.0801091831
str75:attract-str100:attract  0.0888603825  0.0551362606
str100:avoid-str100:attract   0.1723741174  0.1386499956
str25:avoid-str100:attract    0.2112085125  0.1774843906
str50:avoid-str100:attract    0.1616124998  0.1278883780
str75:avoid-str100:attract    0.1950792183  0.1613550964
str100:boid-str100:attract    0.0909445896  0.0572204678
str25:boid-str100:attract     0.1391327386  0.1054086167
str50:boid-str100:attract     0.1159896360  0.0822655141
str75:boid-str100:attract     0.0230170034 -0.0107071185
str100:light-str100:attract   0.1200845518  0.0863604299
str25:light-str100:attract    0.2797910511  0.2460669292
str50:light-str100:attract    0.2263038312  0.1925797093
str75:light-str100:attract    0.1822558281  0.1485317062
str50:attract-str25:attract  -0.0534632249 -0.0871873468
str75:attract-str25:attract  -0.0784361474 -0.1121602693
str100:avoid-str25:attract    0.0050775875 -0.0286465344
str25:avoid-str25:attract     0.0439119826  0.0101878607
str50:avoid-str25:attract    -0.0056840301 -0.0394081520
str75:avoid-str25:attract     0.0277826884 -0.0059414335
str100:boid-str25:attract    -0.0763519403 -0.1100760622
str25:boid-str25:attract     -0.0281637913 -0.0618879132
str50:boid-str25:attract     -0.0513068939 -0.0850310158
str75:boid-str25:attract     -0.1442795265 -0.1780036484
str100:light-str25:attract   -0.0472119781 -0.0809361000
str25:light-str25:attract     0.1124945212  0.0787703993
str50:light-str25:attract     0.0590073013  0.0252831794
str75:light-str25:attract     0.0149592982 -0.0187648237
str75:attract-str50:attract  -0.0249729225 -0.0586970444
str100:avoid-str50:attract    0.0585408125  0.0248166906
str25:avoid-str50:attract     0.0973752075  0.0636510856
str50:avoid-str50:attract     0.0477791948  0.0140550730
str75:avoid-str50:attract     0.0812459133  0.0475217914
str100:boid-str50:attract    -0.0228887154 -0.0566128372
str25:boid-str50:attract      0.0252994336 -0.0084246883
str50:boid-str50:attract      0.0021563310 -0.0315677909
str75:boid-str50:attract     -0.0908163016 -0.1245404235
str100:light-str50:attract    0.0062512468 -0.0274728751
str25:light-str50:attract     0.1659577461  0.1322336242
str50:light-str50:attract     0.1124705262  0.0787464043
str75:light-str50:attract     0.0684225231  0.0346984012
str100:avoid-str75:attract    0.0835137349  0.0497896130
str25:avoid-str75:attract     0.1223481300  0.0886240081
str50:avoid-str75:attract     0.0727521173  0.0390279954
str75:avoid-str75:attract     0.1062188358  0.0724947139
str100:boid-str75:attract     0.0020842071 -0.0316399148
str25:boid-str75:attract      0.0502723561  0.0165482342
str50:boid-str75:attract      0.0271292535 -0.0065948684
str75:boid-str75:attract     -0.0658433791 -0.0995675010
str100:light-str75:attract    0.0312241693 -0.0024999526
str25:light-str75:attract     0.1909306686  0.1572065467
str50:light-str75:attract     0.1374434487  0.1037193268
str75:light-str75:attract     0.0933954456  0.0596713237
str25:avoid-str100:avoid      0.0388343951  0.0051102732
str50:avoid-str100:avoid     -0.0107616176 -0.0444857395
str75:avoid-str100:avoid      0.0227051008 -0.0110190211
str100:boid-str100:avoid     -0.0814295278 -0.1151536497
str25:boid-str100:avoid      -0.0332413789 -0.0669655007
str50:boid-str100:avoid      -0.0563844815 -0.0901086033
str75:boid-str100:avoid      -0.1493571141 -0.1830812360
str100:light-str100:avoid    -0.0522895657 -0.0860136876
str25:light-str100:avoid      0.1074169336  0.0736928117
str50:light-str100:avoid      0.0539297138  0.0202055919
str75:light-str100:avoid      0.0098817106 -0.0238424113
str50:avoid-str25:avoid      -0.0495960127 -0.0833201346
str75:avoid-str25:avoid      -0.0161292942 -0.0498534161
str100:boid-str25:avoid      -0.1202639229 -0.1539880448
str25:boid-str25:avoid       -0.0720757739 -0.1057998958
str50:boid-str25:avoid       -0.0952188765 -0.1289429984
str75:boid-str25:avoid       -0.1881915091 -0.2219156310
str100:light-str25:avoid     -0.0911239607 -0.1248480826
str25:light-str25:avoid       0.0685825386  0.0348584167
str50:light-str25:avoid       0.0150953187 -0.0186288032
str75:light-str25:avoid      -0.0289526844 -0.0626768063
str75:avoid-str50:avoid       0.0334667184 -0.0002574034
